city,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,avg_temp
Gold Canyon,AZ,Arizona,4021,Pinal,33.3715,-111.4369,10684,184,polygon,FALSE,FALSE,America/Phoenix,3,85118 85119,1840018032,93
Golden Shores,AZ,Arizona,4015,Mohave,34.7819,-114.4777,1294,61,polygon,FALSE,TRUE,America/Phoenix,3,86440 86436,1840075379,98.5
Golden Valley,AZ,Arizona,4015,Mohave,35.206,-114.2327,8694,42,polygon,FALSE,FALSE,America/Phoenix,3,86413,1840018339,90
Goodyear,AZ,Arizona,4013,Maricopa,33.2614,-112.3622,79858,161,polygon,FALSE,TRUE,America/Phoenix,3,85139 85338 85326 85340 85395,1840020564,98.5
Goodyear Village,AZ,Arizona,4021,Pinal,33.1973,-111.8724,236,27,polygon,FALSE,TRUE,America/Phoenix,3,85248 85121,1840042768,96
Grand Canyon Village,AZ,Arizona,4005,Coconino,36.0492,-112.1566,1438,41,polygon,FALSE,TRUE,America/Phoenix,3,86023,1840074025,77.5
Grand Canyon West,AZ,Arizona,4015,Mohave,35.9998,-113.8103,0,0,polygon,FALSE,TRUE,America/Phoenix,3,86434,1840075383,85.5
Greasewood,AZ,Arizona,4017,Navajo,35.5279,-109.8613,502,36,polygon,FALSE,FALSE,America/Denver,3,86505,1840017656,78
Green Valley,AZ,Arizona,4019,Pima,31.8437,-111.0172,21912,262,polygon,FALSE,FALSE,America/Phoenix,3,85622 85614,1840018111,88.5
Greer,AZ,Arizona,4001,Apache,34.0053,-109.4611,40,29,polygon,FALSE,FALSE,America/Phoenix,3,85927,1840022621,63
Gu Oidak,AZ,Arizona,4019,Pima,31.9206,-112.0233,98,5,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023070,92
Guadalupe,AZ,Arizona,4013,Maricopa,33.3664,-111.9633,6525,3134,polygon,FALSE,TRUE,America/Phoenix,2,85283,1840021948,96
Hackberry,AZ,Arizona,4015,Mohave,35.3401,-113.7256,101,2,polygon,FALSE,FALSE,America/Phoenix,3,86411 86401,1840023178,87.5
Haigler Creek,AZ,Arizona,4007,Gila,34.2163,-110.9719,29,6,polygon,FALSE,TRUE,America/Phoenix,3,85554,1840075384,78.5
Haivana Nakya,AZ,Arizona,4019,Pima,32.0051,-111.7124,143,29,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023071,92
Hard Rock,AZ,Arizona,4017,Navajo,36.0309,-110.5048,85,5,polygon,FALSE,TRUE,America/Denver,3,86039,1840075388,78
Hayden,AZ,Arizona,4007,Gila,32.9995,-110.7814,631,192,polygon,FALSE,TRUE,America/Phoenix,3,85135 85192,1840021911,88
Heber-Overgaard,AZ,Arizona,4017,Navajo,34.4141,-110.5696,2408,135,polygon,FALSE,TRUE,America/Phoenix,3,85933 85928,1840074050,73.5
Holbrook,AZ,Arizona,4017,Navajo,34.9044,-110.1672,3797,112,polygon,FALSE,TRUE,America/Phoenix,3,86025,1840020334,78
Hondah,AZ,Arizona,4017,Navajo,34.086,-109.9149,991,31,polygon,FALSE,TRUE,America/Phoenix,3,85935 85930,1840075391,70.5
Hotevilla-Bacavi,AZ,Arizona,4017,Navajo,35.9225,-110.6569,1250,41,polygon,FALSE,TRUE,America/Phoenix,3,86030,1840027979,78
Houck,AZ,Arizona,4001,Apache,35.2714,-109.2236,1030,9,polygon,FALSE,FALSE,America/Denver,3,86512 86506,1840017677,76
Huachuca City,AZ,Arizona,4003,Cochise,31.6308,-110.3422,1729,236,polygon,FALSE,TRUE,America/Phoenix,3,85616,1840022106,80
Hunter Creek,AZ,Arizona,4007,Gila,34.3054,-111.0159,19,3,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075397,69
Icehouse Canyon,AZ,Arizona,4007,Gila,33.3553,-110.7965,453,35,polygon,FALSE,TRUE,America/Phoenix,3,85501,1840075398,84
Indian Wells,AZ,Arizona,4017,Navajo,35.4089,-110.1061,275,10,polygon,FALSE,FALSE,America/Denver,3,86031,1840022577,78
Jakes Corner,AZ,Arizona,4007,Gila,34.0083,-111.3202,32,8,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022864,82
Jeddito,AZ,Arizona,4017,Navajo,35.7697,-110.1305,326,23,polygon,FALSE,FALSE,America/Denver,3,86034,1840017657,78
Jerome,AZ,Arizona,4025,Yavapai,34.7466,-112.1072,455,203,polygon,FALSE,TRUE,America/Phoenix,3,86331,1840021773,83.5
Joseph City,AZ,Arizona,4017,Navajo,34.9614,-110.3274,1260,65,polygon,FALSE,FALSE,America/Phoenix,3,86032,1840022578,84.5
Kachina Village,AZ,Arizona,4005,Coconino,35.0949,-111.6927,3013,951,polygon,FALSE,FALSE,America/Phoenix,3,86001,1840017663,70.5
Kaibab,AZ,Arizona,4015,Mohave,36.8815,-112.7236,162,9,polygon,FALSE,FALSE,America/Phoenix,3,86022,1840018340,84.5
Kaibito,AZ,Arizona,4005,Coconino,36.592,-111.1071,1712,41,polygon,FALSE,FALSE,America/Denver,3,86053,1840017664,90
Kaka,AZ,Arizona,4013,Maricopa,32.5113,-112.3168,114,172,polygon,FALSE,FALSE,America/Phoenix,3,85321,1840022922,95
Katherine,AZ,Arizona,4015,Mohave,35.2206,-114.5615,80,8,polygon,FALSE,FALSE,America/Phoenix,3,86429,1840023179,100
Kayenta,AZ,Arizona,4017,Navajo,36.7144,-110.259,4630,135,polygon,FALSE,FALSE,America/Denver,3,86033,1840017658,77.5
Keams Canyon,AZ,Arizona,4017,Navajo,35.8229,-110.2011,262,6,polygon,FALSE,FALSE,America/Phoenix,3,86034,1840017659,78
Kearny,AZ,Arizona,4021,Pinal,33.0564,-110.9074,2095,299,polygon,FALSE,TRUE,America/Phoenix,3,85137,1840022000,87.5
Kingman,AZ,Arizona,4015,Mohave,35.217,-114.0105,44212,303,polygon,FALSE,TRUE,America/Phoenix,3,86409 86401,1840021043,87.5
Kino Springs,AZ,Arizona,4023,Santa Cruz,31.3641,-110.8095,400,597,polygon,FALSE,FALSE,America/Phoenix,3,85621,1840023120,84
Klagetoh,AZ,Arizona,4001,Apache,35.5011,-109.5283,203,234,polygon,FALSE,FALSE,America/Denver,3,86502 86505,1840022622,76
Ko Vaya,AZ,Arizona,4019,Pima,32.0815,-111.8959,8,2,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023072,92
Kohatk,AZ,Arizona,4021,Pinal,32.5782,-112.0033,20,78,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840022983,92.5
Kohls Ranch,AZ,Arizona,4007,Gila,34.321,-111.0838,106,34,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022865,69
Komatke,AZ,Arizona,4013,Maricopa,33.2953,-112.1615,1283,221,polygon,FALSE,FALSE,America/Phoenix,3,85339,1840022923,101
Kykotsmovi Village,AZ,Arizona,4017,Navajo,35.8576,-110.6338,791,18,polygon,FALSE,FALSE,America/Phoenix,3,86039 86030,1840017660,78
La Paz Valley,AZ,Arizona,4012,La Paz,33.5578,-114.2434,497,6,polygon,FALSE,FALSE,America/Phoenix,3,85346,1840022878,100
Lake Havasu City,AZ,Arizona,4015,Mohave,34.5006,-114.3113,55341,453,polygon,FALSE,TRUE,America/Los_Angeles,3,86403 86406 86404 86405,1840021044,94
Lake Montezuma,AZ,Arizona,4025,Yavapai,34.6414,-111.796,5013,161,polygon,FALSE,FALSE,America/Phoenix,3,86335 86342,1840017849,83
Lake of the Woods,AZ,Arizona,4017,Navajo,34.1547,-109.9936,3975,387,polygon,FALSE,FALSE,America/Phoenix,3,85929,1840022579,73.5
Lazy Y U,AZ,Arizona,4015,Mohave,35.1369,-113.9685,468,11,polygon,FALSE,TRUE,America/Phoenix,3,86401,1840075406,77.5
LeChee,AZ,Arizona,4005,Coconino,36.871,-111.4328,1527,35,polygon,FALSE,FALSE,America/Denver,3,86040,1840027980,90
Leupp,AZ,Arizona,4005,Coconino,35.2966,-111.0028,1295,36,polygon,FALSE,FALSE,America/Denver,3,86035 86004,1840017665,80
Linden,AZ,Arizona,4017,Navajo,34.2625,-110.1424,2856,36,polygon,FALSE,FALSE,America/Phoenix,3,85901,1840022580,70
Litchfield Park,AZ,Arizona,4013,Maricopa,33.5024,-112.3586,6009,705,polygon,FALSE,TRUE,America/Phoenix,3,85340,1840020565,98.5
Littlefield,AZ,Arizona,4015,Mohave,36.8663,-113.9358,505,16,polygon,FALSE,FALSE,America/Phoenix,3,86432,1840023180,96.5
Low Mountain,AZ,Arizona,4017,Navajo,35.9481,-110.0981,623,6,polygon,FALSE,FALSE,America/Denver,3,86520 86510 86034,1840022581,78
Lower Santan Village,AZ,Arizona,4021,Pinal,33.1427,-111.7853,395,36,polygon,FALSE,TRUE,America/Phoenix,3,85147,1840042769,93.5
Lukachukai,AZ,Arizona,4001,Apache,36.4112,-109.2267,1660,29,polygon,FALSE,FALSE,America/Denver,3,86507,1840017673,70
Lupton,AZ,Arizona,4001,Apache,35.3548,-109.0528,19,21,polygon,FALSE,FALSE,America/Denver,3,86508,1840022623,76
Maish Vaya,AZ,Arizona,4019,Pima,32.1703,-112.1342,188,17,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023073,92
Mammoth,AZ,Arizona,4021,Pinal,32.6853,-110.7292,1611,23,polygon,FALSE,TRUE,America/Phoenix,3,85623,1840022980,83
Many Farms,AZ,Arizona,4001,Apache,36.3532,-109.6271,1322,62,polygon,FALSE,FALSE,America/Denver,3,86538 86503,1840017674,81.5
Marana,AZ,Arizona,4019,Pima,32.4355,-111.1558,44792,142,polygon,FALSE,TRUE,America/Phoenix,3,85653 85741 85743 85742 85658 85652 85740,1840023057,89.5
Maricopa,AZ,Arizona,4021,Pinal,33.0404,-112.0006,46741,433,polygon,FALSE,TRUE,America/Phoenix,3,85138 85139,1840020629,96
Maricopa Colony,AZ,Arizona,4013,Maricopa,33.3626,-112.2267,791,55,polygon,FALSE,TRUE,America/Phoenix,3,85339,1840042770,98.5
Martinez Lake,AZ,Arizona,4027,Yuma,32.9843,-114.4722,81,20,polygon,FALSE,TRUE,America/Phoenix,3,85365,1840075410,98.5
Mayer,AZ,Arizona,4025,Yavapai,34.4233,-112.2408,1948,37,polygon,FALSE,FALSE,America/Phoenix,3,86333,1840017848,83
McConnico,AZ,Arizona,4015,Mohave,35.1636,-114.0898,0,0,polygon,FALSE,FALSE,America/Phoenix,3,86413 86401,1840023181,87.5
McNary,AZ,Arizona,4001,Apache,34.0924,-109.8541,673,47,polygon,FALSE,FALSE,America/Phoenix,3,85935 85930,1840018996,68
McNeal,AZ,Arizona,4003,Cochise,31.6079,-109.6699,167,17,polygon,FALSE,FALSE,America/Phoenix,3,85617,1840023087,85
Mead Ranch,AZ,Arizona,4007,Gila,34.3462,-111.1428,0,0,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075411,69
Meadview,AZ,Arizona,4015,Mohave,35.9532,-114.0789,857,10,polygon,FALSE,FALSE,America/Phoenix,3,86444,1840023182,85.5
Mesa,AZ,Arizona,4013,Maricopa,33.4017,-111.7181,496401,1388,polygon,FALSE,TRUE,America/Phoenix,2,85208 85209 85201 85202 85203 85204 85205 85206 85207 85215 85213 85212 85210 85211 85214 85216 85274 85275 85277,1840020566,96
Mesa del Caballo,AZ,Arizona,4007,Gila,34.286,-111.2952,569,697,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027967,82
Mescal,AZ,Arizona,4003,Cochise,31.9674,-110.4367,1509,119,polygon,FALSE,FALSE,America/Phoenix,3,85602,1840023088,77.5
Mesquite Creek,AZ,Arizona,4015,Mohave,34.9606,-114.5714,470,178,polygon,FALSE,FALSE,America/Phoenix,3,86440,1840027981,98.5
Miami,AZ,Arizona,4007,Gila,33.3951,-110.8722,1771,779,polygon,FALSE,TRUE,America/Phoenix,3,85539,1840022856,84
Miracle Valley,AZ,Arizona,4003,Cochise,31.3829,-110.1485,759,535,polygon,FALSE,FALSE,America/Phoenix,3,85615,1840023089,76.5
Moccasin,AZ,Arizona,4015,Mohave,36.9099,-112.7546,0,0,polygon,FALSE,FALSE,America/Phoenix,3,86022,1840023183,84.5
Moenkopi,AZ,Arizona,4005,Coconino,36.1124,-111.2212,1273,326,polygon,FALSE,FALSE,America/Phoenix,3,86045,1840018967,88.5
Mohave Valley,AZ,Arizona,4015,Mohave,34.9008,-114.5732,2984,82,polygon,FALSE,FALSE,America/Phoenix,3,86440,1840019745,98.5
Mojave Ranch Estates,AZ,Arizona,4015,Mohave,34.9449,-114.5907,21,10,polygon,FALSE,FALSE,America/Phoenix,3,86440,1840027982,98.5
Morenci,AZ,Arizona,4011,Greenlee,33.0531,-109.3307,1689,678,polygon,FALSE,FALSE,America/Phoenix,3,85540,1840019339,77.5
Morristown,AZ,Arizona,4013,Maricopa,33.8549,-112.6138,158,75,polygon,FALSE,FALSE,America/Phoenix,3,85342,1840022924,95.5
Mountainaire,AZ,Arizona,4005,Coconino,35.092,-111.6493,993,37,polygon,FALSE,FALSE,America/Phoenix,3,86001,1840018968,70.5
Munds Park,AZ,Arizona,4005,Coconino,34.9382,-111.6318,726,12,polygon,FALSE,FALSE,America/Phoenix,3,86017 86336,1840018969,71.5
Naco,AZ,Arizona,4003,Cochise,31.343,-109.9337,833,97,polygon,FALSE,FALSE,America/Phoenix,3,85603 85620,1840019491,75
Nazlini,AZ,Arizona,4001,Apache,35.9156,-109.4726,469,24,polygon,FALSE,FALSE,America/Denver,3,86540,1840018997,81.5
Nelson,AZ,Arizona,4019,Pima,32.4298,-111.2649,473,383,polygon,FALSE,FALSE,America/Phoenix,3,85653,1840137559,93
New Kingman-Butler,AZ,Arizona,4015,Mohave,35.2645,-114.0091,13060,1014,polygon,FALSE,TRUE,America/Phoenix,3,86409,1840037118,87.5
New River,AZ,Arizona,4013,Maricopa,33.8835,-112.0858,14847,102,polygon,FALSE,FALSE,America/Phoenix,3,85086 85087,1840019307,92
Nogales,AZ,Arizona,4023,Santa Cruz,31.3624,-110.9336,30876,372,polygon,FALSE,TRUE,America/Phoenix,3,85621,1840020823,84
Nolic,AZ,Arizona,4019,Pima,32.0341,-111.955,63,46,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023074,92
North Fork,AZ,Arizona,4017,Navajo,33.9965,-109.9593,1634,10,polygon,FALSE,TRUE,America/Phoenix,3,85941,1840075412,70.5
Nutrioso,AZ,Arizona,4001,Apache,33.9515,-109.2058,59,74,polygon,FALSE,FALSE,America/Phoenix,3,85932,1840022624,64
Oak Springs,AZ,Arizona,4001,Apache,35.4759,-109.1319,84,174,polygon,FALSE,FALSE,America/Denver,3,86511,1840027932,72.5
Oatman,AZ,Arizona,4015,Mohave,35.0273,-114.3839,48,96,polygon,FALSE,FALSE,America/Phoenix,3,86413 86433,1840023184,100
Oljato-Monument Valley,AZ,Arizona,4017,Navajo,36.9867,-110.191,202,6,polygon,FALSE,TRUE,America/Denver,3,84536,1840037122,77.5
Oracle,AZ,Arizona,4021,Pinal,32.6085,-110.7826,3729,91,polygon,FALSE,FALSE,America/Phoenix,3,85623,1840019359,83
Oro Valley,AZ,Arizona,4019,Pima,32.4223,-110.9767,44350,480,polygon,FALSE,TRUE,America/Phoenix,3,85755 85704 85737,1840023058,87.5
Oxbow Estates,AZ,Arizona,4007,Gila,34.1824,-111.343,197,154,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027971,82
Padre Ranchitos,AZ,Arizona,4027,Yuma,32.6497,-114.6417,253,336,polygon,FALSE,TRUE,America/Phoenix,3,85365,1840075422,98.5
Page,AZ,Arizona,4005,Coconino,36.9425,-111.5071,6946,76,polygon,FALSE,TRUE,America/Denver,3,86040 86036,1840020336,90
Palominas,AZ,Arizona,4003,Cochise,31.3838,-110.1212,249,49,polygon,FALSE,FALSE,America/Phoenix,3,85615,1840023090,76.5
Paradise Valley,AZ,Arizona,4013,Maricopa,33.5434,-111.9595,14293,358,polygon,FALSE,TRUE,America/Phoenix,3,85253,1840022913,98.5
Parker,AZ,Arizona,4012,La Paz,34.0286,-114.2224,4730,53,polygon,FALSE,TRUE,America/Phoenix,3,85344 85346,1840022875,100.5
Parker Strip,AZ,Arizona,4012,La Paz,34.2803,-114.1269,652,80,polygon,FALSE,FALSE,America/Phoenix,3,85344,1840019267,100.5
Parks,AZ,Arizona,4005,Coconino,35.2939,-111.9771,1652,3,polygon,FALSE,FALSE,America/Phoenix,3,86046 86018,1840018970,71
Patagonia,AZ,Arizona,4023,Santa Cruz,31.5436,-110.7477,880,263,polygon,FALSE,TRUE,America/Phoenix,3,85624,1840023118,84
Paulden,AZ,Arizona,4025,Yavapai,34.8899,-112.4938,5064,34,polygon,FALSE,FALSE,America/Phoenix,3,86323 86334,1840019162,80.5
Payson,AZ,Arizona,4007,Gila,34.2434,-111.3195,14412,309,polygon,FALSE,TRUE,America/Phoenix,3,85541 85547,1840022857,82
Peach Springs,AZ,Arizona,4015,Mohave,35.5315,-113.4319,1228,59,polygon,FALSE,FALSE,America/Phoenix,3,86434,1840019746,77
Peeples Valley,AZ,Arizona,4025,Yavapai,34.2773,-112.7654,474,12,polygon,FALSE,FALSE,America/Phoenix,3,85362 86332,1840019163,90
Peoria,AZ,Arizona,4013,Maricopa,33.7844,-112.299,168181,369,polygon,FALSE,TRUE,America/Phoenix,2,85381 85383 85382 85373 85345 85342 85380 85385,1840020567,95.5
Peridot,AZ,Arizona,4007,Gila,33.3015,-110.4554,1648,123,polygon,FALSE,FALSE,America/Phoenix,3,85542,1840019261,89
Phoenix,AZ,Arizona,4013,Maricopa,33.5722,-112.0891,4081849,1212,polygon,FALSE,TRUE,America/Phoenix,1,85008 85009 85006 85007 85004 85083 85086 85087 85085 85383 85033 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85017 85016 85254 85003 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85032 85031 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082,1840020568,95.5
Picacho,AZ,Arizona,4021,Pinal,32.709,-111.4907,427,26,polygon,FALSE,FALSE,America/Phoenix,3,85141,1840022984,93
Picture Rocks,AZ,Arizona,4019,Pima,32.3274,-111.2558,8666,47,polygon,FALSE,FALSE,America/Phoenix,3,85653 85743,1840019482,93
Pima,AZ,Arizona,4009,Graham,32.8886,-109.8437,2513,132,polygon,FALSE,TRUE,America/Phoenix,3,85543,1840022954,87.5
Pimaco Two,AZ,Arizona,4019,Pima,31.9666,-110.4663,669,56,polygon,FALSE,FALSE,America/Phoenix,3,85602,1840027975,77.5
Pinal,AZ,Arizona,4007,Gila,33.3799,-110.7571,660,621,polygon,FALSE,FALSE,America/Phoenix,3,85501,1840027956,84
Pine,AZ,Arizona,4007,Gila,34.3788,-111.4574,1591,18,polygon,FALSE,FALSE,America/Phoenix,3,85544,1840019262,77
Pine Lake,AZ,Arizona,4015,Mohave,35.0887,-113.8739,50,11,polygon,FALSE,TRUE,America/Phoenix,3,86401,1840075424,77.5
Pinedale,AZ,Arizona,4017,Navajo,34.3208,-110.2599,320,12,polygon,FALSE,FALSE,America/Phoenix,3,85934,1840022582,74
Pinetop Country Club,AZ,Arizona,4017,Navajo,34.1163,-109.891,1677,95,polygon,FALSE,TRUE,America/Phoenix,3,85935,1840075441,68
Pinetop-Lakeside,AZ,Arizona,4017,Navajo,34.1486,-109.9658,4361,150,polygon,FALSE,TRUE,America/Phoenix,3,85935 85929,1840022571,73.5
Pinion Pines,AZ,Arizona,4015,Mohave,35.1467,-113.9059,181,46,polygon,FALSE,TRUE,America/Phoenix,3,86401,1840075442,87.5
Pinon,AZ,Arizona,4017,Navajo,36.0992,-110.2209,830,49,polygon,FALSE,FALSE,America/Denver,3,86510,1840018964,78
Pirtleville,AZ,Arizona,4003,Cochise,31.3613,-109.5661,1838,380,polygon,FALSE,FALSE,America/Phoenix,3,85626 85607,1840019492,81
Pisinemo,AZ,Arizona,4019,Pima,32.0349,-112.3192,356,60,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840019483,92
Poston,AZ,Arizona,4012,La Paz,33.9921,-114.4046,312,88,polygon,FALSE,FALSE,America/Phoenix,3,85371,1840019268,100.5
Prescott,AZ,Arizona,4025,Yavapai,34.585,-112.4475,42731,367,polygon,FALSE,TRUE,America/Phoenix,3,86305 86301 86303 86313 86302 86304,1840020436,79
Prescott Valley,AZ,Arizona,4025,Yavapai,34.5982,-112.3178,97066,419,polygon,FALSE,TRUE,America/Phoenix,3,86327 86315 86314 86312,1840021772,79
Quartzsite,AZ,Arizona,4012,La Paz,33.6675,-114.217,3357,39,polygon,FALSE,TRUE,America/Phoenix,3,85346 85359,1840021913,100
Queen Creek,AZ,Arizona,4013,Maricopa,33.2367,-111.6389,39184,503,polygon,FALSE,TRUE,America/Phoenix,3,85142,1840021944,96
Queen Valley,AZ,Arizona,4021,Pinal,33.283,-111.3049,654,25,polygon,FALSE,FALSE,America/Phoenix,3,85118,1840019360,93
Rainbow City,AZ,Arizona,4017,Navajo,33.8731,-109.9763,1114,197,polygon,FALSE,TRUE,America/Phoenix,3,85941,1840038035,70.5
Rancho Mesa Verde,AZ,Arizona,4027,Yuma,32.5944,-114.6551,909,3125,polygon,FALSE,TRUE,America/Phoenix,2,85350,1840038041,98.5
Red Mesa,AZ,Arizona,4001,Apache,36.9664,-109.3828,367,11,polygon,FALSE,FALSE,America/Denver,3,86514,1840018998,84.5
Red Rock,AZ,Arizona,4021,Pinal,32.561,-111.3745,3046,24,polygon,FALSE,FALSE,America/Phoenix,3,85131 85145 85658,1840022985,93
Rillito,AZ,Arizona,4019,Pima,32.4157,-111.1549,51,243,polygon,FALSE,FALSE,America/Phoenix,3,85654 85653,1840023075,89.5
Rincon Valley,AZ,Arizona,4019,Pima,32.1101,-110.6889,6151,93,polygon,FALSE,TRUE,America/Phoenix,3,85747 85641,1840038089,88.5
Rio Rico,AZ,Arizona,4023,Santa Cruz,31.4957,-110.9886,18891,117,polygon,FALSE,FALSE,America/Phoenix,3,85640 85648,1840027004,79.5
Rio Verde,AZ,Arizona,4013,Maricopa,33.7278,-111.674,2028,180,polygon,FALSE,FALSE,America/Phoenix,3,85263,1840019308,90
Rock House,AZ,Arizona,4007,Gila,33.6318,-110.9456,61,38,polygon,FALSE,TRUE,America/Phoenix,3,85501,1840038092,68.5
