REGION,WBAN_ID,STATION_NAME,STATE_PROVINCE,COUNTY,COUNTRY,EXTENDED_NAME,CALL_SIGN,STATION_TYPE,DATE_ASSIGNED,BEGIN_DATE,COMMENTS,LOCATION,ELEV_OTHER,ELEV_GROUND,ELEV_RUNWAY,ELEV_BAROMETRIC,ELEV_STATION,ELEV_UPPER_AIR
1,121,RYAN FIELD AIRPORT,AZ,PIMA,US,RYAN FIELD AIRPORT,RYN,AWOS,Nov-13,1-Mar-43,"ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","32.15, -111.167",,2418 FEET,,,,
2,221,H A CLARK MEMORIAL FIELD AIRPORT,AZ,COCONINO,US,H A CLARK MEMORIAL FIELD AIRPORT,CMR,AWOS,Nov-13,1-Nov-42,"ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","35.3, -112.2",,6677 FEET,,,,
2,226,BUCKEYE MUNICIPAL AIRPORT,AZ,MARICOPA,US,BUCKEYE MUNICIPAL AIRPORT,BXK,AWOS,Nov-13,1-Jan-01,"ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","33.417, -112.683",,1021 FEET,,,,
3,374,PAYSON AIRPORT,AZ,GILA,US,PAYSON AIRPORT,PAN,AWOS,Nov-13,1-May-64,"ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","34.257, -111.339",,5158 FEET,,,,
3,375,SEDONA AIRPORT,AZ,YAVAPAI,US,SEDONA AIRPORT,SEZ,AWOS,Nov-13,1-May-56,"ADDED TO REPOSITORY USING ISD, AIRNAV.COM, FAA PUBLICATIONS AS SOURCE FOR AWOS/AWSS/METAR LOAD PROJECT.  NCDC RECEIVING DATA ON GTS FOR THESE STATIONS. WBANS WERE AUTO-GENERATED STARTING AT 00100.","34.85, -111.783",,4827 FEET,,,,
230/030,3029,WINDOW ROCK,AZ,APACHE,US,WINDOW ROCK APT,P34/RQE,ASOS-NWS,8/19/1998,8/18/1998,P34 CHANGED TO RQE,"35*39'27""N 109*03'41""W", ,,6739 FT,,,
230/030,3057,CLIFTON ,AZ,,US,,,,,,CDMP PROJECT (1950-1959 POR),,,,,,,
230/030,3077,HOLBROOK 17 ESE,AZ,,US,NAVAJO COUNTY,,HCNM,4/2/2009,,,,,,,,,
231/031,3101,SHOW LOW AP,AZ,,US,,,SAWRS,,,,,,,,,,
231/031,3103,FLAGSTAFF,AZ,,US,,FLG,WBAS/NWS,,,,"35*35'08""N 111*40'14""W",,,,,,
231/031,3119,LAGUNA ,AZ,,US,TASK FORCE FURNACE,,,,,,,,,,,,
231/031,3124,FORT HUACHUCA,AZ,,US,,,AEPG,,,,,,,,,,
231/031,3125,YUMA,AZ,,US,SIG CORPS TEST STN,,,,,,,,,,,,
231/031,3140,ST GEORGE,AZ,,US,,,WB,,,,,,,,,,
231/031,3145,YUMA,AZ,,US,,,MCAAS,,,,,,,,,,
231/031,3149,PHOENIX,AZ,,US,LITCHFIELD PK/FLT A,,,,,,,,,,,,
231/031,3150,TOPOCK,AZ,,US,,,,,,,,,,,,,
231/031,3151,YUCCA,AZ,,US,,,,,,,,,,,,,
231/031,3162,PAGE,AZ,,US,PAGE MUNI. AP,PGA,NWS/AMOS,,,,"36*55'34""N 111*26'52""W",4310 FT,,,,,
231/031,3168,LAKE HAVASU CITY,AZ,,US,,LHU,,,,,,,,,,,
231/031,3169,LUKEVILE *,AZ,,US,,P65,AMOS,,,,,,,,,,
231/031,3184,DEER VALLEY,AZ,MARICOPA,US,PHOENIX-DEER VALLEY APT,DVT,LAWRS/FAA/ASOS,9/3/1998,9/2/1998,,"33*41'18""N 112*04'54""W",,,1476 FT,,,
231/031,3185,MESA,AZ,,US,FALCON FIELD,FFZ,SAWRS/LAWRS,,,,,,,,,,
231/031,3186,GOODYEAR,AZ,,US,PHOENIX-LITCHFIELD APT,GYR,LAWRS/AWOS,8/26/2005,,AWOS 08/26/05,,,,,,,
231/031,3188,FT HUACHUCA,AZ,,US,,,U/A,,,,,,,,,,
231/031,3192,SCOTTSDALE,AZ,MARICOPA,US,SCOTTSDALE MUNI AP,SDL,FAA/ASOS,11/5/2001,10/30/2001,FAA/ASOS (11/05/2001),"33*37'22""N 111*54'38""W",,1473 FT,1508 FT,1469 FT,1510 FT,
231/031,3193,KAYENTA,AZ,,US,,0V7,AWOS,,,,"36*42'35""N 110*14'10""W",,,,,,
231/031,3194,CASA GRANDE,AZ,,US,,CZG,AWOS,,,,,,,,,,
231/031,3195,GRAND CANYON NATIONAL PARK,AZ,COCONINO,US,GRAND CANYON NATIONAL PARK APT,GCN,AWOS,12/1/1993,,,"35*56'46""N 112*09'17""W",,,,,,
231/031,3196,NOGALES,AZ,SANTA CRUZ,US,NOGALES INTL AP,MAE/13A/ OLS,AMOS/FAA/ASOS,7/28/1999,7/28/1999,FAA/ASOS (7/28/1999) / 13A CHANGED TO OLS,"31*25'15""N 110*50'45""W",,,3932 FT,,,
231/031,3199,KITT PEAK,AZ,,US,AIR SAMPLE STATION,,,,,,,,,,,,
230,23001,DOUGLAS,AZ,,US,,,AAF,,,,,,,,,,
230,23071,COCHISE,AZ,,US,,,AIRWAY,,,,,,,,,,
231,23101,AJO,AZ,,US,,,AAF,,,,,,,,,,
231,23104,CHANDLER,AZ,,US,WILLIAMS AP,,,,,,,,,,,,
231,23108,*KINGMAN/KINGMAN TEAM 1,AZ,,US,,,AAF,,,,,,,,,,
231,23109,TUCSON,AZ,,US,DAVIS MONTHAN AFB,,,,,,,,,,,,
231,23111,PHOENIX,AZ,,US,LUKE FLD,,,,,,,,,,,,
231,23113,TUCSON,AZ,,US,MARANA AAF,,,,,,,,,,,,
231,23133,YUMA,AZ,,US,,,AAF,,,,,,,,,,
231,23140,COOLIDGE,AZ,,US, ,,AAF,,,,,,,,,,
231,23143,GRAND CANYON,AZ,,US,,,,,,,,,,,,,
231,23160,TUCSON,AZ,,US,MUNICIPAL AIRPORT,TUS,WBAS/NWS,,,,"32*06'58""N 110*56'26""W",,,,,,
231,23166,FLAGSTAFF,AZ,,US,,,WBO,,,,,,,,,,
231,23168,GILA BEND,AZ,,US,,,CAA,,,,,,,,,,
231,23183,PHOENIX,AZ,,US,,PHX,WBAS/NWS,,,,"33*26'10""N 112*00'32""W",,,,,,
231,23184,PRESCOTT,AZ,,US,,PRC,WBAS/FAA,,,,"34*39'06""N 112*25'15""W",,,,,,
231,23193,TUCSON,AZ,,US,,,WBAS,,,,,,,,,,
231,23194,WINSLOW,AZ,,US,,INW,WBAS/NWS,,,,"35*01'19""N 110*43'19""W",,,,,,
231,23195,YUMA,AZ,,US,,YUM,CAA/NAVY,,,,"32*39'24""N 114*36'19""W",,,,,,
