"install_yr","customer_group","avg_price_k","med_price_1k","sum_price_1k","installations","avg_discounts_1k","med_discounts_1k","sum_discounts_1k","avg_income_1k","avg_population","avg_log_population","avg_temperature","avg_module_1_efficiency","avg_ilr","avg_system_size"
1999,"Residential","23.577305687314","16.2","1485.37025830078","63","0.233757691603441","0.175","3.03884999084473",NULL,NULL,NULL,NULL,NULL,NULL,"5.54977774809277"
2000,"Residential","43.8014117647059","31.244","744.624","17","0.63668822703642","0.588599975585937","10.8236998596191",NULL,NULL,NULL,NULL,NULL,NULL,"6.36688242239111"
2001,"Residential","39.5","39.5","39.5","1","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,"10.46399974823"
2002,"Residential","18.1970576171875","17.046","72.78823046875","4","4.04","4.32","16.16",NULL,NULL,NULL,"86.5",NULL,"0.46477272734046","2.02000004053116"
2003,"Non-Residential","26.9131966145833","28.438390625","80.73958984375","3","7.61583333333333","7.1275","22.8475",NULL,NULL,NULL,"82.1666666666667",NULL,"1.05199998617172","2.53333330154419"
2003,"Residential","25.1490678187779","14.6","352.086949462891","14","10.3008728724888","5.76","144.212220214844",NULL,NULL,NULL,"92.7142857142857","0.145227432250977","0.798267539058413","4.92792847539697"
2003,"Unknown","496.965","496.965","496.965","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55"
2004,"Non-Residential","117.364","86.632","234.728","2","58.6828359375","43.316","117.365671875",NULL,NULL,NULL,"92",NULL,"0.917721182107925","18.0800004005432"
2004,"Residential","28.1287035775534","21.62683984375","1153.27684667969","41","12.5655991925495","10.56","515.189566894531",NULL,NULL,NULL,"91.0121951219512","0.130978061394258","0.91817079520807","3.42421955306356"
2004,"Unknown","35","35","35","1","2.45","2.45","2.45",NULL,NULL,NULL,NULL,NULL,NULL,"7"
2005,"Non-Residential","158.726016710069","17.447439453125","1428.53415039062","9","47.3729480251736","8.7237197265625","426.356532226562",NULL,NULL,NULL,"92.3888888888889","0.12199981212616","0.969077775875727","15.3418889310625"
2005,"Residential","22.9059906325567","18.849060546875","1924.10321313477","84","11.1182067091609","9.018","922.811156860352",NULL,NULL,NULL,"92.8273809523809","0.128951187597381","0.976346101966642","3.52830953328382"
2005,"Unknown","13.536","13.536","13.536","1","6.768","6.768","6.768",NULL,NULL,NULL,NULL,NULL,NULL,"1.79999995231628"
2006,"Non-Residential","221.781648995536","81.464","3104.9430859375","14","81.5442389787946","27.6","1141.61934570312",NULL,NULL,NULL,"95.3928571428571","0.154410125315189","1.1121009679941","27.32178573949"
2006,"Residential","30.927624758309","27.864","9247.35980273438","299","14.0963093972094","12.6","4214.79650976562",NULL,NULL,NULL,"94.4377104377104","0.138329947459782","0.973801462889119","4.26439464461046"
2006,"Unknown","33.9873333333333","33.58","101.962","3","10.3866666666667","8","31.16",NULL,NULL,NULL,NULL,NULL,NULL,"4.57333326339722"
2007,"Non-Residential","183.535379828559","55.329","3303.63683691406","18","126.063696180556","18","2269.14653125",NULL,NULL,NULL,"91.8611111111111","0.138686164536259","0.901268738839361","18.8669999705421"
2007,"Residential","34.3200383522727","30.866970703125","10948.092234375","319","15.1424970848538","13.728","4830.45657006836",NULL,NULL,NULL,"94.2092651757189","0.136115284843577","1.00429048801002","4.9181974595617"
2007,"Unknown","69.1198571428572","16","483.839","7","6.584","7.92","32.92",NULL,NULL,NULL,NULL,NULL,NULL,"6.38857152632305"
2008,"Non-Residential","525.90505616091","141.988640625","29976.5882011719","57","396.303750976563","47.833","22193.0100546875",NULL,NULL,NULL,"95.93","0.144832136342302","0.969766436815262","70.221455854282"
2008,"Residential","38.6440585941631","34.77066015625","22838.6386291504","591","16.8103532099328","15.3","9934.91874707031",NULL,NULL,NULL,"94.1397849462366","0.136385873379186","1.0479609231795","5.42138744156978"
2008,"Unknown","28.5788181818182","26.25","628.734","22","11.6869090909091","12","257.112",NULL,NULL,NULL,NULL,NULL,NULL,"3.59318182143298"
2009,"Non-Residential","396.418011350538","96.56775","48362.9973847657","122","195.320672895952","33.6","23633.8014204101",NULL,NULL,NULL,"94.7553191489362","0.138104344246449","1.36858404063164","48.5999256365123"
2009,"Residential","41.0259811388494","36.6532890625","112821.448131836","2750","17.7756822624708","16.128","48705.3693991701",NULL,NULL,NULL,"94.9860124333925","0.139753229771099","1.5392072179567","5.82792725129019"
2009,"Unknown","36.8869189189189","28.8","2729.632","74","13.4022702702703","12","991.768",NULL,NULL,NULL,NULL,NULL,NULL,"4.87770269207052"
2010,"Non-Residential","609.571766220093","110","156050.372152344","256","364.415382857065","37.2","91832.6764799805",NULL,NULL,NULL,"95.8395061728395","0.140500624702401","1.11487526529365","95.576937062986"
2010,"Residential","38.6850852440938","33","201162.443269288","5200","15.8087059598183","13.5","82189.4622850952",NULL,NULL,NULL,"95.7590898145919","0.14383816858819","1.21734448727739","6.14489216190691"
2010,"Unknown","106.507775862069","37.312","6177.451","58","18.9274827586207","14.694","1097.794",NULL,NULL,NULL,NULL,NULL,NULL,"6.61827582120895"
2011,"Non-Residential","1325.12420890969","233.532","515473.317265869","389","747.082187357478","75","285385.395570557",NULL,NULL,NULL,"95.7672727272727","0.141983871017733","1.11024802174036","201.554552421012"
2011,"Residential","37.2339657821573","32.79619921875","210371.906669189","5650","10.4334576301102","9.024","58907.301779602",NULL,NULL,NULL,"95.5318410342351","0.145928477800235","1.05501513073849","6.18400565424852"
2011,"Unknown","44.11540625","39","4235.079","96","16.30884375","15.19","1565.649",NULL,NULL,NULL,NULL,NULL,NULL,"7.65139581573506"
2012,"Non-Residential","942.169609340388","211.6","372156.995689453","395","491.092119208233","52.8","191525.926491211",NULL,NULL,NULL,"93.9147540983607","0.145703872242434","1.11568934725303","156.710861919726"
2012,"Residential","35.6666808609099","32.8146484375","330130.798048582","9256","4.92073238392364","4.032","45300.262326401",NULL,NULL,NULL,"95.8805149437185","0.155421248561142","1.06860591386933","6.96285004998568"
2012,"Unknown","46.3907252747253","39.921","4221.556","91","15.8384252873563","15.468","1377.943",NULL,NULL,NULL,NULL,NULL,NULL,"9.11406587833887"
2013,"Non-Residential","1073.35816274765","674.36","328447.597800781","306","498.191111060847","303.70919921875","152446.479984619","50.3444444444444444","386849.835249042146","5.07478321093543","94.4501718213058","0.152604859630416","1.14426191490272","193.960517640207"
2013,"Residential","36.6000389962603","29.573","403881.430323733","11035","1.24417213485196","0.792","13465.6750155028","56.5487641950567802","366233.567929816011","5.14196628480216","95.6578346028292","0.155376193969079","1.11350967171757","7.28821281847718"
2013,"Unknown","34.9233148148148","32.5","1885.859","54","3.97883333333333","3.537","119.365",NULL,NULL,NULL,NULL,NULL,NULL,"9.496851850439"
2014,"Non-Residential","864.583945396808","405.706","120177.168410156","139","337.148763604648","144.21759765625","46526.5293774414","53.6046511627906977","378235.217391304348","5.10218182224507","94.9444444444444","0.158502109850255","1.16518028933778","189.247842712368"
2014,"Residential","33.0243314344948","30.8","272780.977648927","8260","0.465999859315305","0.25","2818.83314899828","58.5160481444332999","459118.733758700696","5.32203806290093","96.4559013073099","0.158128717958266","1.16144419711488","7.86020682132995"
2014,"Unknown","29.68563","28.95","5937.126","200","2.46034615384615","1.75","255.876",NULL,NULL,NULL,NULL,NULL,NULL,"6.89284998893738"
2015,"Non-Residential","134.904209551181","30.149","46137.2396665039","342","189.2198671574","29.546","13813.0503024902","53.6734693877551020","679195.435483870968","5.40132176424721","95.9230769230769","0.161271851446669","1.14831203864171","38.7208040431578"
2015,"Residential","34.5090525300509","31.416","250742.77568335","7266","0.0759455395501643","0","300.5165","59.2178077332387371","552932.641644325290","5.47427633984926","97.205674801529","0.158102054243796","1.17605190215672","8.30390155333036"
2015,"Unknown","32.9140612244898","29.26","3225.578","98","2.28542708333333","1.98","219.401",NULL,NULL,NULL,NULL,NULL,NULL,"9.04153056047401"
2016,"Non-Residential","533.427851764547","286.44","92816.4462070312","174","5.45218561746988","0","905.0628125","62.8888888888888889","492585.051282051282","5.47962391858027","96.5769230769231","0.164718629498231","1.24258297834641","196.480074753706"
2016,"Residential","328.008636502222","28.9","5326860.25679609","16240","0.00171672430053442","0","27.3045","58.8997826920618688","419805.325137350266","5.15373260000932","96.5217303005686","0.165697450430679","1.16273087161008","7.90259229385941"
2016,"Unknown","34.2283035714286","30.177","1916.785","56","0.707928571428571","0.342","39.644",NULL,NULL,NULL,NULL,NULL,NULL,"10.9874999863761"
2017,"Non-Residential","463.362697024001","94.742","44946.1816113281","97","12.0242348845109","0","1106.229609375","60.6250000000000000","770572.656250000000","5.69354282796026","97.0147058823529","0.16830899938941","4.64262170826688","201.035834966247"
2017,"Residential","45.3167987705446","26.4045","1088872.04085865","24028","0","0","0","65.9777958700318259","410173.876603685561","5.15320883704341","96.676693278393","0.177761704252217","1.12963132290014","8.02387875435613"
2017,"Unknown","36.5430606060606","33","3617.763","99","0.288616161616162","0.28","28.573",NULL,NULL,NULL,NULL,NULL,NULL,"10.8848484429446"
2018,"Non-Residential","491.946652319931","302.022","60509.4382353515","123","0","0","0","66.4210526315789474","766481.578947368421","5.73305044594756","97.6842105263158","0.167069525403135","1.17315969027971","178.538504784669"
2018,"Residential","43.5287842969436","26.191","931080.696111624","21390","0.0146703837323713","0","313.110000000001","67.0558232566596963","413755.597484276730","5.16553778836453","96.5220848056537","0.185304944154178","1.12279872449386","8.42114122812438"
2018,"Unknown","31.9236666666667","30.369","1149.252","36","0.297861111111111","0.315","10.723",NULL,NULL,NULL,NULL,NULL,NULL,"10.0652777287695"
